beta,rgb_supervise,rgb_weak_supervise_prop,z_dim,smooth,alpha,img_metric_mean,img_metric_std,color_metric_mean,color_metric_std
0.5,False,0.05,16,0.001,0.5,"[1.04965634e+00 0.00000000e+00 5.06569034e+01 3.41580501e-03
 8.98836992e+01 5.62004335e+01 9.87606342e-01 0.00000000e+00
 5.28241575e+01 2.89261279e-03 8.97223119e+01 5.57621198e+01
 9.89872994e-01]","[3.25523466e+00 0.00000000e+00 4.85333748e+00 1.96973628e-03
 7.56019771e-01 3.80769813e+00 1.42837976e-02 0.00000000e+00
 6.24134710e+00 1.99664604e-03 1.42230453e+00 3.43556351e+00
 1.36204738e-02]",43.66709120876513,18.71382187766219
1.0,True,0.05,64,0.005,2.5,"[8.86003754e-01 0.00000000e+00 5.06255416e+01 3.32817819e-03
 8.98731213e+01 5.62018633e+01 9.88696497e-01 0.00000000e+00
 5.24709443e+01 2.87606708e-03 8.96928264e+01 5.55855133e+01
 9.90693161e-01]","[3.33543085e+00 0.00000000e+00 4.31269172e+00 1.75131678e-03
 7.60891006e-01 3.58052901e+00 1.20910044e-02 0.00000000e+00
 5.54818797e+00 1.79387820e-03 1.50327145e+00 3.08154927e+00
 1.15477760e-02]",47.61774863799221,18.005574943538488
0.5,True,0.05,8,0.005,1.0,"[1.13462850e+00 0.00000000e+00 4.81925532e+01 4.50868791e-03
 8.98750499e+01 5.51170091e+01 9.79639334e-01 0.00000000e+00
 4.98163263e+01 3.97582091e-03 8.96685573e+01 5.42582042e+01
 9.82655631e-01]","[3.55451186e+00 0.00000000e+00 4.85450492e+00 2.44818277e-03
 7.63740626e-01 3.86701717e+00 2.03728088e-02 0.00000000e+00
 5.92570418e+00 2.49202727e-03 1.61567495e+00 3.28073214e+00
 1.98695377e-02]",50.18661422729079,18.68063938204805
2.5,False,0.05,64,0.001,2.5,"[9.91231355e-01 0.00000000e+00 4.96184459e+01 3.71476317e-03
 8.98774895e+01 5.56831376e+01 9.86210590e-01 0.00000000e+00
 5.14467388e+01 3.21434945e-03 8.96682085e+01 5.50734105e+01
 9.88606200e-01]","[3.40381070e+00 0.00000000e+00 4.25347794e+00 1.85797232e-03
 7.58490538e-01 3.51982922e+00 1.35191801e-02 0.00000000e+00
 5.49658201e+00 1.92357877e-03 1.66378138e+00 3.06898623e+00
 1.30363483e-02]",45.42214482363474,18.925503411138102
0.5,False,0.05,64,0.005,1.0,"[2.00839233e+00 0.00000000e+00 5.11348697e+01 3.16219515e-03
 8.98777846e+01 5.63295638e+01 9.89181515e-01 0.00000000e+00
 5.34396862e+01 2.61147941e-03 8.96589537e+01 5.60698842e+01
 9.92024458e-01]","[4.63223102e+00 0.00000000e+00 4.45769394e+00 1.70592235e-03
 7.59512931e-01 3.48861940e+00 1.14338211e-02 0.00000000e+00
 5.69394233e+00 1.72238218e-03 1.74797648e+00 3.14801479e+00
 1.04507219e-02]",52.80794970269361,18.086116790798798
0.5,True,0.05,64,0.001,0.5,"[9.11389648e-01 0.00000000e+00 5.14699078e+01 3.06357655e-03
 8.98753818e+01 5.64781322e+01 9.90308989e-01 0.00000000e+00
 5.35639479e+01 2.59737834e-03 8.96828904e+01 5.61320150e+01
 9.92130759e-01]","[3.30984384e+00 0.00000000e+00 4.53336752e+00 1.72306038e-03
 7.61815413e-01 3.54495803e+00 1.12517690e-02 0.00000000e+00
 5.87080662e+00 1.73935162e-03 1.59960831e+00 3.22816224e+00
 1.05505815e-02]",43.58798885631336,18.316038275565738
1.0,False,0.05,64,0.001,2.5,"[8.89155445e-01 0.00000000e+00 5.06373816e+01 3.32396117e-03
 8.98732187e+01 5.62025118e+01 9.88738615e-01 0.00000000e+00
 5.24926860e+01 2.86892429e-03 8.96942341e+01 5.55963841e+01
 9.90733976e-01]","[3.31996610e+00 0.00000000e+00 4.31971845e+00 1.74529315e-03
 7.60952300e-01 3.57674264e+00 1.20301477e-02 0.00000000e+00
 5.55931083e+00 1.78366656e-03 1.49508619e+00 3.08426283e+00
 1.14666437e-02]",45.158930390014476,19.31647844321801
2.5,False,0.05,64,0.001,0.5,"[1.03872056e+00 0.00000000e+00 4.94164332e+01 3.75460526e-03
 8.98747510e+01 5.54051150e+01 9.86324740e-01 0.00000000e+00
 5.14995055e+01 3.16091375e-03 8.96770880e+01 5.50997939e+01
 9.89027821e-01]","[3.29591127e+00 0.00000000e+00 3.96532781e+00 1.80792135e-03
 7.63667176e-01 3.29794739e+00 1.33380885e-02 0.00000000e+00
 5.26157887e+00 1.87832419e-03 1.60714517e+00 2.93758956e+00
 1.28067508e-02]",45.24204454456314,18.507944651545383
1.0,False,0.05,16,0.001,0.1,"[8.78501695e-01 0.00000000e+00 5.03682120e+01 3.47481422e-03
 8.98811721e+01 5.60857032e+01 9.87451015e-01 0.00000000e+00
 5.21950581e+01 3.01938245e-03 8.97171172e+01 5.54475701e+01
 9.89529389e-01]","[3.36089530e+00 0.00000000e+00 4.57348693e+00 1.91078156e-03
 7.56045852e-01 3.73140987e+00 1.38442842e-02 0.00000000e+00
 5.86589320e+00 1.94127660e-03 1.44751691e+00 3.24967577e+00
 1.33584500e-02]",43.79213567972712,18.18467547075935
1.0,True,0.05,64,0.001,1.0,"[1.12384050e+00 0.00000000e+00 5.09033496e+01 3.22958151e-03
 8.98763992e+01 5.63111476e+01 9.89386557e-01 0.00000000e+00
 5.29153237e+01 2.75150100e-03 8.96820171e+01 5.58077029e+01
 9.91317088e-01]","[3.32125272e+00 0.00000000e+00 4.33288749e+00 1.72059328e-03
 7.61712489e-01 3.56757965e+00 1.15981224e-02 0.00000000e+00
 5.63639731e+00 1.75455275e-03 1.57269805e+00 3.12492286e+00
 1.10689988e-02]",44.29250238007905,19.01672693548779
